UN201907290015,"2019-07-29 07:36:46",官田區,道路維修,路樹傾倒,"官田區中華路二段150號   路樹倒塌",官田區中華路二段150號,23.2003742,120.3164036
UN201907290018,"2019-07-29 07:51:34",後壁區,髒亂及汙染,道路散落物,"後壁區竹新里活動中心   道路散落物",後壁區竹新里活動中心,23.3433044,120.3003035
UN201907290020,"2019-07-29 08:02:29",麻豆區,交通運輸,佔用道路,"麻豆中正路260號   佔用道路",麻豆中正路260號,23.1884715,120.2520268
UN201907290021,"2019-07-29 08:08:41",永康區,交通運輸,號誌故障,"永康區中正路529號 號誌故障",臺南市永康區中正路529號,23.039316,120.238472
UN201907290049,"2019-07-29 08:59:45",新市區,民生管線,漏水、停水、消防栓漏水或損壞,"新市區龍目井路99號 漏水",新市區龍目井路99號,23.1102125,120.3079527
UN201907290056,"2019-07-29 09:08:37",東區,道路維修,路面下陷、凹陷,東區裕農路往市區方向近裕信路口,東區裕農路近裕信路,22.9900888,120.2450763
UN201907290063,"2019-07-29 09:17:50",安平區,道路維修,路面坑洞,安平區安平路500巷口道路坑洞,安平區安平路500巷,22.9988294,120.1723374
UN201907290067,"2019-07-29 09:21:43",東區,違規停車,違規停車,"東區東寧路122號 違停",臺南市東區東寧路122號,22.991848,120.221797
UN201907290075,"2019-07-29 09:31:39",南區,髒亂及汙染,環境髒亂,"南區灣裡路88巷152號 樹葉清運",南區灣裡路88巷152號,22.9278055,120.1795652
UN201907290076,"2019-07-29 09:32:41",中西區,違規停車,違規停車,"中西區西華南街2-58號、民族路二段43-63號 違規停車",臺南市中西區西華南街58號,22.994066,120.20957
UN201907290077,"2019-07-29 09:32:57",安平區,違規停車,違規停車,"慶平路412號前 違停",臺南市安平區慶平路412號,22.997021,120.175597
UN201907290092,"2019-07-29 09:56:10",中西區,道路維修,路面掏空、塌陷,"中西區和善街98巷 路面掏空",中西區和善街98巷,23.0028903,120.1901084
UN201907290094,"2019-07-29 09:59:01",佳里區,路燈故障,9盞以下路燈故障,"佳里區文化路457巷靠近安西路93巷 路燈故障",佳里區文化路457巷28號,23.1622096,120.1698701
UN201907290102,"2019-07-29 10:15:28",麻豆區,動物救援,遊蕩犬隻捕捉管制,"麻豆區同仁街18號 動物救援",麻豆區同仁街18號,23.181531,120.255577
UN201907290106,"2019-07-29 10:23:31",安南區,髒亂及汙染,環境髒亂,"安南區本原街二段106巷26-1號  髒亂及汙染",安南區本原街二段106巷26-1號,23.0571701,120.1884357
UN201907290109,"2019-07-29 10:24:55",安平區,路燈故障,9盞以下路燈故障,"安平區健康四街100號 路燈路障",安平區健康四街100號,22.9881797,120.1629927
UN201907290114,"2019-07-29 10:29:54",安南區,髒亂及汙染,大型廢棄物清運,"安南區府安路六段94巷28號 小冰箱",安南區府安路六段94巷28號,23.0188518,120.187873
UN201907290118,"2019-07-29 10:34:25",東區,路燈故障,10盞以上路燈故障,"東區長榮路二段上，從懷恩街到東寧路 路燈不亮",東區長榮路二段上從懷恩街到東寧路,22.9893802,120.218628
UN201907290120,"2019-07-29 10:36:02",永康區,噪音舉發,妨害安寧,"永康區四維街149巷34之1號 妨害安寧",臺南市永康區四維街149巷34之1號,23.035003,120.250806
UN201907290128,"2019-07-29 10:42:26",東區,道路維修,路面坑洞,"東區裕農路855號 路面坑洞",東區裕農路855號,22.9897924,120.2424441
UN201907290133,"2019-07-29 10:50:39",南區,髒亂及汙染,環境髒亂,"南區新都路墓地沿線旁的路邊， 環境髒亂",南區新都路墓地,22.9717404,120.2024908
UN201907290134,"2019-07-29 10:51:34",東區,道路維修,路面下陷、凹陷,"東區裕農路855號  道路坑洞",東區裕農路855號,22.9897924,120.2424441
UN201907290136,"2019-07-29 10:52:02",南區,交通運輸,號誌故障,"南區健康路二段新樂路 號誌故障",南區健康路二段新樂路,22.9817486,120.1897194
UN201907290141,"2019-07-29 10:55:43",善化區,道路維修,路面坑洞,"善化區文昌路107巷  道路維修",善化區文昌路107巷,23.1188896,120.2881488
UN201907290143,"2019-07-29 10:58:27",永康區,噪音舉發,場所連續噪音,"永康取東橋一路156號二樓健身房 連續噪音",永康區東橋一路156號二樓健身房,23.0157348,120.2360059
UN201907290146,"2019-07-29 11:01:10",安平區,髒亂及汙染,其他汙染舉發,"安平區國平路育平二街 其他汙染舉發",安平區國平路育平二街,22.9853205,120.1703055
UN201907290164,"2019-07-29 11:25:07",中西區,髒亂及汙染,空氣汙染,"中西區永福路一段269號  空氣汙染",中西區永福路一段269號,22.9889636,120.1999896
UN201907290170,"2019-07-29 11:43:37",永康區,髒亂及汙染,其他汙染舉發,"永康區新行街291巷 空氣汙染",永康區新行街291巷,23.0450778,120.2422504
UN201907290192,"2019-07-29 12:48:15",中西區,違規停車,違規停車,"中西區民族路二段76號 違規停車",臺南市中西區民族路二段76號,22.994726,120.20925
UN201907290205,"2019-07-29 13:17:19",安南區,違規停車,違規停車,"安南區同安路235號  違規停車",臺南市安南區同安路235號,23.042496,120.192062
UN201907290215,"2019-07-29 13:34:08",安平區,違規停車,違規停車,"安平區永華路二段500號 違停",安平區永華路二段500號,22.9904803,120.1753267
