UN201901280019,"2019-01-28 07:50:26",新市區,噪音舉發,妨害安寧,"新市區富中街269號    噪音舉發",新市區富中街269號,23.0808853,120.2905622
UN201901280020,"2019-01-28 07:52:30",安南區,動物救援,遊蕩犬隻捕捉管制,"安南區城西街一段219號  捕犬  環境髒亂",安南區城西街一段219號,23.0602396,120.1258509
UN201901280021,"2019-01-28 07:57:06",新營區,違規停車,違規停車,"新營區中山路1號   違規停車",臺南市新營區中山路1號,23.30644,120.32271
UN201901280022,"2019-01-28 08:00:53",新營區,違規停車,違規停車,"新營區中山路1號  違停",臺南市新營區中山路1號,23.30644,120.32271
UN201901280037,"2019-01-28 08:38:01",北區,民生管線,漏水、停水、消防栓漏水或損壞,"北區文成路跟育德一路口 孔蓋鬆動",北區文成路育德一路,23.0127296,120.201756
UN201901280043,"2019-01-28 08:48:40",永康區,違規停車,違規停車,"永康區中華路58巷52號    違規停車",臺南市永康區中華路58巷52號,23.001829,120.237398
UN201901280046,"2019-01-28 08:55:35",安平區,髒亂及汙染,空氣汙染,"安平區建平五街41號   空污/噪音",安平區建平五街41號,22.987344,120.1808848
UN201901280048,"2019-01-28 09:00:10",中西區,違規停車,違規停車,"中西區民族路二段76號 違規停車",臺南市中西區民族路二段76號,22.994726,120.20925
UN201901280067,"2019-01-28 09:26:36",安南區,動物救援,犬貓急難救援,"安南區安富街251巷56弄43號   貓受傷",安南區安富街251巷56弄43號,23.024887,120.1940915
UN201901280076,"2019-01-28 09:54:10",新營區,髒亂及汙染,環境髒亂,新營區中山路113號環境髒亂,新營區中山路113號,23.305157,120.318774
UN201901280114,"2019-01-28 11:14:48",安南區,交通運輸,交通疏導,"安南區安和路四段527號   交通疏導",臺南市安南區安和路四段527號,23.061325,120.218433
UN201901280124,"2019-01-28 11:30:26",安平區,髒亂及汙染,空氣汙染,"安平區文平路254號 空氣汙染",安平區文平路254號,22.9885284,120.1782745
UN201901280134,"2019-01-28 11:36:07",安南區,髒亂及汙染,環境髒亂,"安南區安和路一段288巷104號 環境髒亂",安南區安和路一段288巷104號,23.0332726,120.2149892
UN201901280141,"2019-01-28 11:48:43",安南區,交通運輸,號誌故障,"安南區安富街337號 號誌燈故障",安南區安富街337號,23.0260646,120.1935232
UN201901280146,"2019-01-28 12:09:56",安南區,違規停車,違規停車,"安南區安中路四段87號 違停",臺南市安南區安中路四段87號,23.049491,120.17214
UN201901280148,"2019-01-28 12:16:58",中西區,違規停車,違規停車,"中西區永福路二段99號 違規停車",臺南市中西區永福路二段99號,22.99329,120.200962
UN201901280164,"2019-01-28 13:13:41",安南區,路燈故障,9盞以下路燈故障,"安南區安和路四段162巷7號 路燈故障",安南區安和路四段162巷7號,23.0539719,120.219323
UN201901280165,"2019-01-28 13:16:17",永康區,違規停車,違規停車,"永康區六合路42巷50號   違規停車",臺南市永康區六合路42巷50號,23.009208,120.232462
UN201901280167,"2019-01-28 13:19:39",南區,民生管線,漏水、停水、消防栓漏水或損壞,"南區中華西路一段23號 民生管線",南區中華西路一段23號,22.9658239,120.1835896
UN201901280175,"2019-01-28 13:34:21",永康區,路燈故障,9盞以下路燈故障,"永康區中正一街32巷6弄12號   路燈不亮",永康區中正一街32巷6弄12號,23.0343931,120.2475304
UN201901280181,"2019-01-28 13:49:13",玉井區,髒亂及汙染,空氣汙染,"玉井區豐里里60-1號旁 空氣汙染/場所連續噪音",玉井區豐里里60-1號,23.1288864,120.2387336
UN201901280223,"2019-01-28 15:35:07",大內區,髒亂及汙染,大型廢棄物清運,"大內區石城里122-23號 大型廢棄物清運",大內區石城里122-23號,23.1225078,120.3550161
UN201901280226,"2019-01-28 15:42:26",歸仁區,違規停車,違規停車,"歸仁區中山路一段172號 違規停車",臺南市歸仁區中山路一段172號,22.96448,120.307754
UN201901280257,"2019-01-28 16:44:33",中西區,違規停車,違規停車,"中西區中山路3到117號/2到100號  違規停車",中西區中山路117號,22.9946964,120.2080708
UN201901280259,"2019-01-28 16:50:49",安南區,髒亂及汙染,環境髒亂,"安南區安和路一段288巷和安通路二段T字路口號誌下方、及安和路一段288巷171弄空地旁 亂丟垃圾",安南區安和路一段288巷和安通路二段,23.0334807,120.2179914
UN201901280281,"2019-01-28 17:30:04",中西區,違規停車,違規停車,"中西區西華南街58號 違規停車",西華南街58號,22.9940774,120.2095668
UN201901280282,"2019-01-28 17:30:43",南區,違規停車,違規停車,"南區健康路一段403號 違規停車",健康路一段403號,22.98113,120.199086
UN201901280283,"2019-01-28 17:30:55",中西區,違規停車,違規停車,"中西區民族路二段41號 違規停車",民族路二段41號,22.994298,120.2105723
UN201901280285,"2019-01-28 17:36:21",安平區,違規停車,違規停車,"安平區建平九街60巷13弄4號路口 違規停車",建平九街60巷13弄4號,22.9915983,120.1806699
UN201901280289,"2019-01-28 17:46:11",安平區,違規停車,違規停車,"安平區建平九街60巷13弄4號路口 違規停車",建平九街60巷13弄4號路口,22.9915983,120.1806699
UN201901280296,"2019-01-28 18:07:54",中西區,違規停車,違規停車,"中西區民族路三段280號前 違規停車",中西區民族路三段280號,23.0001731,120.192482
UN201901280303,"2019-01-28 18:23:02",東區,違規停車,違規停車,"東區崇德四街七巷14號 違規停車",東區崇德四街七巷14號,22.9777341,120.225049
UN201901280304,"2019-01-28 18:28:38",東區,路燈故障,9盞以下路燈故障,"東區裕華二街2號對面 路燈故障",東區裕華二街2號,22.9790656,120.2460441
UN201901280306,"2019-01-28 18:33:00",安南區,路燈故障,9盞以下路燈故障,"安南區慶安路175巷88號 路燈故障",安南區慶安路175巷88號,23.0435383,120.2116278
UN201901280308,"2019-01-28 18:37:33",中西區,路燈故障,9盞以下路燈故障,"中西區民生路到忠明街 路燈故障",中西區民生路康樂街,22.9957669,120.1953104
UN201901280309,"2019-01-28 18:40:58",永康區,違規停車,違規停車,"永康區中山東路147號 紅線違停",永康區中山東路147號,23.011667,120.237032
UN201901280313,"2019-01-28 18:47:14",仁德區,交通運輸,交通疏導,"仁德區太子路往東區裕農路 交通疏導",仁德區太子路裕農路,22.9906494,120.2479686
UN201901280317,"2019-01-28 19:02:04",東區,違規停車,違規停車,"東區富農街一段232巷 違規停車",東區富農街一段232巷,22.9827824,120.2352811
UN201901280318,"2019-01-28 19:11:36",北區,違規停車,違規停車,"北區長榮路四段100號 違規停車",北區長榮路四段100號,23.0053448,120.2225091
UN201901280321,"2019-01-28 19:17:30",六甲區,路燈故障,9盞以下路燈故障,"六甲區新東街156號 路燈故障",六甲區新東街156號,23.3095398,120.3238593
UN201901280323,"2019-01-28 19:26:23",北區,髒亂及汙染,環境髒亂,"北區開南街269號對面 環境髒亂",北區開南街269號,23.0039787,120.228531
UN201901280324,"2019-01-28 19:31:01",山上區,路燈故障,10盞以上路燈故障,"山上區明和里157號活動中心旁，178線往善化方向 路燈不亮",山上區明和里157號,23.1147826,120.3406679
UN201901280328,"2019-01-28 19:37:54",中西區,道路維修,路面坑洞,"中西區西門路一段747巷口 路面坑洞",中西區西門路一段747巷,22.9894486,120.1970206
UN201901280329,"2019-01-28 19:37:58",北區,違規停車,違規停車,"北區永祥公園 違規停車",台南北區永祥公園,23.0152627,120.2200884
UN201901280330,"2019-01-28 19:39:04",東區,路燈故障,9盞以下路燈故障,"東區崇明七街63號門口 路燈不亮",東區崇明七街63號,22.979246,120.217374
UN201901280331,"2019-01-28 19:47:28",六甲區,路燈故障,9盞以下路燈故障,"六甲區中華路35巷 2盞路燈有閃爍",六甲區中華路35巷,23.2243321,120.3508983
UN201901280332,"2019-01-28 19:47:41",六甲區,路燈故障,10盞以上路燈故障,"六甲區珊瑚路122巷與新東街一帶 路燈故障",六甲區珊瑚路122巷,23.223533,120.3545199
UN201901280336,"2019-01-28 20:06:19",東區,路燈故障,9盞以下路燈故障,"東區崇明七街61號 路燈乙盞",東區崇明七街61號,22.9792351,120.217331
UN201901280338,"2019-01-28 20:11:17",南區,髒亂及汙染,道路散落物,"南區中華西路與新忠路 道路散落物",南區中華西路新忠路,22.9794705,120.1849957
