UN201712040001,"2017-12-04 00:02:00",安平區,噪音舉發,妨害安寧,"安平區育平9街192巷 妨害安寧",育平9街192巷,22.9955703,120.1710282
UN201712040004,"2017-12-04 00:21:00",安定區,髒亂及汙染,市區道路路面油漬,"安定區港子尾37之28號 市區道路路面油漬",臺南市安定區港子尾37之28號,23.101904,120.236082
UN201712040011,"2017-12-04 03:48:00",南區,噪音舉發,妨害安寧,"南區中華南路2段233巷14號3樓 妨害安寧",臺南市南區中華南路2段233巷14號,22.960323,120.189559
UN201712040019,"2017-12-04 07:11:00",新化區,違規停車,違規停車,"新化區中山路234號 違規停車",臺南市新化區中山路234號,23.036102,120.308249
UN201712040020,"2017-12-04 07:15:00",歸仁區,髒亂及汙染,空氣汙染,"歸仁區中正南路二段258巷43號對面 髒亂及汙染",歸仁區中正南路二段258巷43號,22.9174202,120.2709093
UN201712040021,"2017-12-04 07:18:00",仁德區,動物救援,犬貓急難救援,"仁德區土庫一街811巷112號 狗救援",臺南市仁德區土庫一街811巷112號,22.983843,120.268905
UN201712040025,"2017-12-04 07:55:00",安平區,違規停車,違規停車,"安平區安平路618號 違規停車",安平區安平路618號,22.9989822,120.1687317
UN201712040026,"2017-12-04 07:54:00",安南區,動物救援,犬貓急難救援,"安南區安和路四段25巷72號後方 狗受困",臺南市安南區安和路四段25巷72號,23.051916,120.217084
UN201712040029,"2017-12-04 08:00:00",永康區,違規停車,違規停車,"永康區中山南路1042號  違停",永康區中山南路1042號,23.0253751,120.2555897
UN201712040034,"2017-12-04 08:15:00",安平區,違規停車,違規停車,"安平區府前路二段546號 違規停車",臺南市安平區府前路二段546號,22.993104,120.185573
UN201712040036,"2017-12-04 08:19:00",南區,交通運輸,佔用道路,"南區金華路二段15巷77,81號對面 交通運輸",臺南市南區金華路二段15巷77號,22.976246,120.188354
UN201712040040,"2017-12-04 08:20:00",安平區,違規停車,違規停車,"安平區建平三街216巷口  違停",安平區建平三街216巷口,22.9907494,120.1813946
UN201712040043,"2017-12-04 08:26:00",北區,交通運輸,佔用道路,"北區開南街143巷50號對面 佔用道路",臺南市北區開南街143巷50號,23.006697,120.226218
UN201712040056,"2017-12-04 08:49:00",新營區,動物救援,犬貓急難救援,"新營區建業路227巷20弄10號後方的防火巷 貓受困",臺南市新營區建業路227巷20弄10號,23.29749,120.296969
UN201712040058,"2017-12-04 08:57:00",中西區,違規停車,違規停車,"中西區民族路二段63號 違規停車",中西區民族路二段63號,22.9943593,120.209799
UN201712040079,"2017-12-04 10:02:00",安南區,路燈故障,9盞以下路燈故障,"安南區安豐五街107號旁 路燈故障",臺南市安南區安豐五街107號,23.047889,120.216089
UN201712040091,"2017-12-04 10:34:00",東區,交通運輸,佔用道路,"東區裕農路27之13號 占用道路",臺南市東區裕農路27之13號,22.985159,120.224671
UN201712040114,"2017-12-04 11:32:00",中西區,違規停車,違規停車,"中西區成功路99號 違停",臺南市中西區成功路99號,22.997763,120.207888
UN201712040126,"2017-12-04 12:00:00",中西區,違規停車,違規停車,"中西區衛民街145號118號  違規停車",臺南市中西區衛民街145號,22.993399,120.207231
UN201712040128,"2017-12-04 12:02:00",中西區,違規停車,違規停車,"中西區中正路14號附近  違規停車",臺南市中西區中正路14號,22.992306,120.203705
UN201712040129,"2017-12-04 12:07:00",新市區,噪音舉發,妨害安寧,"新市區中華路49號  噪音舉發",744台灣台南市新市區中華路49號,23.063727347819313,120.29487225183721
UN201712040138,"2017-12-04 12:46:00",中西區,違規停車,違規停車,"中西區廣慈街停車格  違規停車",700台灣台南市中西區廣慈街停車格,22.997012118045888,120.20723846242674
UN201712040148,"2017-12-04 13:04:00",東區,髒亂及汙染,空氣汙染,"東區崇德四街7巷10號 空氣汙染",臺南市東區崇德四街7巷10號,22.977599,120.225068
UN201712040161,"2017-12-04 13:30:00",新市區,違規停車,違規停車,"新市區永就里59-3號旁  違規停車",臺南市新市區永就里59-3號,23.064107,120.294022
UN201712040164,"2017-12-04 13:40:00",北區,路燈故障,9盞以下路燈故障,"北區東豐路287號 路燈故障",臺南市北區東豐路287號,23.002979,120.223195
UN201712040169,"2017-12-04 13:58:00",佳里區,交通運輸,佔用道路,"佳里區佳北路395巷 佔用道路",佳里區佳北路395巷,23.1712084,120.1756562
UN201712040193,"2017-12-04 15:08:00",南區,髒亂及汙染,空氣汙染,"南區新都路256巷1號/ 新都路193號  空氣汙染",臺南市南區新都路256巷1號,22.969053,120.198465
UN201712040195,"2017-12-04 15:10:00",歸仁區,噪音舉發,妨害安寧,"歸仁區南潭二街99巷16弄17號 妨礙安寧",臺南市歸仁區南潭二街99巷16弄17號,22.987286,120.282412
UN201712040205,"2017-12-04 15:22:00",中西區,髒亂及汙染,市區道路路面油漬,"中西區府前路二段176號 路面油漬",臺南市中西區府前路二段176號,22.991475,120.193748
